iter	Passed	Remaining
0	182	182633
1	184	91945
2	185	61660
3	186	46493
4	188	37425
5	189	31361
6	190	27036
7	191	23790
8	193	21271
9	194	19246
10	195	17588
11	196	16209
12	198	15042
13	199	14047
14	200	13179
15	201	12419
16	203	11761
17	204	11161
18	205	10626
19	209	10283
20	211	9856
21	213	9473
22	214	9092
23	214	8742
24	215	8420
25	216	8125
26	219	7904
27	220	7670
28	223	7467
29	224	7253
30	225	7048
31	226	6853
32	227	6669
33	228	6498
34	229	6338
35	231	6186
36	232	6047
37	233	5916
38	234	5785
39	236	5670
40	237	5555
41	238	5443
42	239	5337
43	240	5235
44	242	5141
45	243	5050
46	244	4964
47	246	4880
48	247	4803
49	248	4724
50	249	4649
51	250	4575
52	252	4505
53	253	4437
54	255	4386
55	256	4322
56	257	4262
57	259	4212
58	260	4159
59	262	4111
60	263	4062
61	265	4011
62	266	3968
63	268	3920
64	269	3873
65	270	3827
66	271	3780
67	271	3727
68	273	3686
69	274	3646
70	275	3606
71	276	3567
72	278	3534
73	281	3516
74	282	3482
75	284	3455
76	286	3431
77	287	3394
78	288	3358
79	288	3323
80	289	3290
81	291	3258
82	293	3243
83	294	3212
84	295	3176
85	296	3156
86	297	3122
87	298	3092
88	299	3063
89	300	3034
90	301	3007
91	301	2980
92	302	2953
93	303	2927
94	304	2902
95	305	2877
96	309	2876
97	310	2854
98	310	2830
99	311	2806
100	312	2783
101	313	2756
102	313	2734
103	314	2712
104	315	2690
105	316	2670
106	317	2649
107	318	2629
108	319	2609
109	320	2590
110	321	2571
111	323	2564
112	324	2550
113	326	2536
114	327	2522
115	328	2504
116	329	2489
117	331	2475
118	332	2459
119	333	2447
120	335	2440
121	337	2426
122	337	2408
123	338	2393
124	340	2381
125	341	2368
126	342	2356
127	343	2340
128	344	2328
129	346	2315
130	347	2304
131	348	2294
132	350	2283
133	351	2271
134	355	2280
135	356	2267
136	357	2254
137	358	2239
138	359	2226
139	360	2213
140	361	2201
141	362	2188
142	363	2175
143	363	2163
144	364	2151
145	368	2157
146	369	2145
147	370	2134
148	371	2122
149	372	2111
150	373	2100
151	374	2089
152	375	2078
153	376	2067
154	377	2056
155	378	2046
156	379	2035
157	379	2025
158	382	2022
159	384	2017
160	385	2007
161	386	1997
162	387	1987
163	388	1978
164	388	1968
165	389	1959
166	390	1949
167	391	1940
168	392	1931
169	393	1922
170	394	1913
171	395	1904
172	399	1909
173	400	1900
174	401	1892
175	402	1883
176	403	1875
177	404	1866
178	405	1858
179	406	1850
180	406	1839
181	407	1831
182	408	1823
183	409	1815
184	410	1807
185	411	1800
186	414	1800
187	415	1792
188	415	1784
189	417	1777
190	417	1770
191	418	1762
192	419	1755
193	420	1748
194	421	1741
195	422	1734
196	423	1727
197	424	1719
198	425	1712
199	427	1711
200	429	1708
201	430	1701
202	431	1694
203	432	1687
204	433	1680
205	434	1673
206	435	1667
207	436	1661
208	437	1654
209	438	1648
210	439	1641
211	439	1635
212	440	1629
213	443	1630
214	445	1626
215	446	1620
216	447	1613
217	448	1607
218	449	1601
219	450	1595
220	450	1589
221	451	1583
222	452	1577
223	453	1571
224	454	1565
225	455	1559
226	456	1553
227	460	1559
228	461	1554
229	462	1548
230	463	1542
231	464	1537
232	465	1531
233	466	1526
234	467	1520
235	468	1515
236	469	1510
237	470	1504
238	470	1499
239	471	1494
240	476	1499
241	476	1494
242	477	1488
243	478	1483
244	479	1478
245	480	1473
246	481	1468
247	482	1463
248	483	1458
249	484	1453
250	485	1448
251	486	1443
252	487	1438
253	491	1444
254	493	1440
255	509	1480
256	510	1477
257	512	1474
258	513	1470
259	515	1466
260	516	1462
261	518	1459
262	520	1457
263	522	1456
264	525	1456
265	526	1453
266	527	1449
267	529	1445
268	530	1441
269	531	1437
270	532	1433
271	534	1429
272	535	1425
273	536	1422
274	538	1418
275	539	1415
276	541	1412
277	542	1408
278	543	1405
279	548	1409
280	549	1406
281	551	1404
282	553	1403
283	556	1402
284	557	1399
285	559	1397
286	560	1393
287	561	1389
288	562	1384
289	563	1380
290	567	1381
291	572	1386
292	573	1382
293	574	1378
294	575	1374
295	576	1370
296	577	1365
297	577	1361
298	578	1357
299	580	1353
300	584	1358
301	585	1354
302	586	1350
303	588	1346
304	588	1342
305	589	1337
306	590	1333
307	591	1329
308	592	1325
309	593	1321
310	594	1317
311	596	1315
312	599	1316
313	600	1312
314	601	1308
315	602	1304
316	603	1300
317	604	1296
318	605	1292
319	606	1288
320	607	1284
321	608	1280
322	609	1276
323	612	1278
324	614	1277
325	615	1273
326	616	1269
327	617	1265
328	618	1261
329	619	1258
330	620	1254
331	621	1250
332	622	1246
333	623	1242
334	624	1239
335	625	1235
336	627	1234
337	629	1233
338	630	1230
339	632	1227
340	633	1223
341	634	1220
342	635	1216
343	636	1213
344	637	1209
345	637	1205
346	638	1202
347	641	1201
348	642	1199
349	644	1196
350	645	1194
351	646	1190
352	647	1187
353	648	1184
354	649	1180
355	650	1177
356	651	1173
357	652	1170
358	653	1166
359	655	1165
360	657	1164
361	658	1161
362	659	1157
363	660	1154
364	661	1151
365	662	1147
366	663	1144
367	664	1141
368	665	1137
369	666	1134
370	667	1131
371	668	1128
372	669	1125
373	670	1122
374	671	1118
375	672	1115
376	673	1112
377	674	1109
378	675	1106
379	675	1102
380	676	1099
381	677	1096
382	678	1093
383	679	1090
384	680	1086
385	681	1083
386	682	1080
387	682	1077
388	683	1074
389	685	1071
390	685	1068
391	686	1065
392	687	1062
393	688	1059
394	689	1056
395	690	1053
396	691	1050
397	692	1047
398	693	1044
399	694	1041
400	695	1038
401	696	1035
402	697	1032
403	698	1029
404	699	1026
405	700	1024
406	701	1022
407	702	1019
408	703	1016
409	704	1013
410	705	1010
411	706	1007
412	707	1005
413	708	1002
414	709	999
415	710	996
416	710	994
417	711	991
418	712	988
419	713	985
420	714	983
421	715	980
422	716	977
423	717	974
424	718	972
425	719	969
426	720	966
427	721	964
428	722	961
429	723	958
430	724	956
431	725	953
432	725	950
433	726	947
434	727	945
435	729	943
436	730	941
437	731	938
438	732	935
439	733	933
440	734	930
441	735	928
442	736	925
443	737	923
444	738	920
445	739	917
446	739	915
447	740	912
448	741	910
449	742	907
450	743	905
451	744	902
452	745	900
453	746	897
454	747	894
455	748	892
456	749	889
457	749	887
458	750	884
459	751	882
460	752	879
461	753	877
462	754	875
463	755	872
464	756	870
465	757	867
466	758	865
467	759	862
468	760	860
469	760	858
470	761	855
471	762	853
472	763	850
473	764	848
474	765	846
475	766	843
476	767	841
477	768	838
478	769	836
479	770	834
480	770	831
481	771	829
482	772	827
483	773	824
484	774	822
485	775	820
486	776	818
487	777	816
488	778	813
489	779	811
490	780	809
491	781	807
492	782	804
493	783	802
494	784	800
495	785	798
496	786	795
497	787	793
498	788	791
499	789	789
500	790	786
501	790	784
502	792	782
503	792	780
504	793	778
505	794	775
506	795	773
507	796	771
508	797	769
509	798	767
510	799	765
511	800	762
512	801	760
513	802	758
514	803	756
515	804	754
516	805	752
517	806	750
518	807	747
519	807	745
520	808	743
521	809	741
522	810	739
523	811	737
524	812	735
525	813	733
526	814	730
527	815	728
528	816	726
529	817	724
530	818	722
531	818	720
532	819	718
533	820	716
534	821	714
535	822	712
536	823	710
537	824	707
538	825	705
539	826	703
540	827	701
541	827	699
542	828	697
543	829	695
544	830	693
545	831	691
546	832	689
547	833	687
548	834	685
549	835	683
550	836	681
551	837	679
552	838	677
553	839	675
554	839	673
555	840	671
556	841	669
557	842	667
558	843	665
559	844	663
560	845	661
561	846	659
562	846	657
563	847	655
564	848	653
565	849	651
566	850	649
567	851	647
568	852	645
569	853	643
570	853	641
571	854	639
572	855	637
573	856	635
574	857	633
575	858	631
576	859	629
577	859	627
578	860	625
579	861	623
580	862	622
581	863	620
582	864	618
583	865	616
584	866	614
585	866	612
586	867	610
587	868	608
588	869	606
589	870	605
590	871	603
591	872	601
592	873	599
593	874	597
594	875	595
595	876	594
596	877	592
597	878	590
598	878	588
599	879	586
600	880	584
601	881	582
602	882	580
603	883	579
604	884	577
605	884	575
606	885	573
607	886	571
608	887	569
609	888	567
610	889	566
611	890	564
612	891	562
613	891	560
614	892	558
615	893	557
616	894	555
617	895	553
618	896	551
619	897	549
620	898	548
621	898	546
622	899	544
623	900	542
624	901	540
625	902	539
626	903	537
627	904	535
628	905	533
629	906	532
630	906	530
631	907	528
632	908	526
633	909	525
634	910	523
635	911	521
636	912	520
637	913	518
638	914	516
639	915	514
640	916	513
641	917	511
642	918	509
643	918	507
644	919	506
645	920	504
646	921	502
647	922	501
648	923	499
649	924	497
650	925	495
651	925	494
652	926	492
653	927	490
654	928	489
655	929	487
656	930	485
657	931	484
658	932	482
659	933	480
660	934	479
661	935	477
662	935	475
663	936	474
664	937	472
665	938	470
666	939	469
667	940	467
668	941	465
669	942	464
670	943	462
671	944	460
672	945	459
673	946	457
674	947	456
675	948	454
676	948	452
677	949	451
678	950	449
679	951	447
680	952	446
681	953	444
682	954	442
683	955	441
684	955	439
685	956	437
686	957	436
687	958	434
688	959	433
689	960	431
690	961	430
691	963	428
692	964	427
693	965	425
694	966	424
695	967	422
696	968	421
697	969	419
698	970	417
699	971	416
700	972	414
701	973	413
702	974	411
703	974	409
704	975	408
705	976	406
706	977	404
707	977	403
708	978	401
709	979	400
710	980	398
711	981	396
712	982	395
713	983	393
714	983	392
715	984	390
716	985	389
717	986	387
718	987	385
719	989	384
720	990	383
721	991	381
722	992	380
723	994	378
724	995	377
725	997	376
726	998	375
727	1000	373
728	1002	372
729	1008	373
730	1025	377
731	1028	376
732	1030	375
733	1040	377
734	1041	375
735	1043	374
736	1044	372
737	1046	371
738	1047	370
739	1049	368
740	1050	367
741	1052	366
742	1054	364
743	1055	363
744	1056	361
745	1058	360
746	1059	358
747	1066	359
748	1068	358
749	1069	356
750	1071	355
751	1072	353
752	1074	352
753	1075	350
754	1079	350
755	1081	349
756	1083	347
757	1084	346
758	1085	344
759	1087	343
760	1088	341
761	1089	340
762	1091	339
763	1092	337
764	1095	336
765	1097	335
766	1098	333
767	1099	332
768	1101	330
769	1112	332
770	1113	330
771	1114	329
772	1116	327
773	1117	326
774	1121	325
775	1122	324
776	1123	322
777	1125	321
778	1126	319
779	1127	318
780	1129	316
781	1130	315
782	1131	313
783	1133	312
784	1135	311
785	1137	309
786	1139	308
787	1140	306
788	1141	305
789	1144	304
790	1146	302
791	1150	302
792	1151	300
793	1153	299
794	1154	297
795	1155	296
796	1156	294
797	1157	293
798	1159	291
799	1160	290
800	1161	288
801	1161	286
802	1165	285
803	1166	284
804	1167	282
805	1168	281
806	1169	279
807	1170	278
808	1172	276
809	1173	275
810	1174	273
811	1175	272
812	1175	270
813	1176	268
814	1180	267
815	1182	266
816	1183	264
817	1183	263
818	1185	261
819	1186	260
820	1186	258
821	1187	257
822	1188	255
823	1189	254
824	1190	252
825	1192	251
826	1193	249
827	1195	248
828	1196	246
829	1198	245
830	1199	243
831	1200	242
832	1201	240
833	1202	239
834	1203	237
835	1204	236
836	1205	234
837	1206	233
838	1207	231
839	1209	230
840	1211	229
841	1212	227
842	1213	226
843	1214	224
844	1215	222
845	1217	221
846	1218	220
847	1219	218
848	1220	216
849	1221	215
850	1222	213
851	1224	212
852	1226	211
853	1227	209
854	1228	208
855	1229	206
856	1230	205
