iter	Passed	Remaining
0	166	166155
1	167	83691
2	168	56133
3	170	42387
4	171	34148
5	172	28631
6	174	24698
7	177	22057
8	179	19784
9	181	17926
10	182	16400
11	183	15129
12	184	14042
13	186	13111
14	187	12309
15	188	11608
16	191	11092
17	193	10535
18	194	10031
19	195	9578
20	196	9170
21	197	8801
22	199	8468
23	200	8161
24	206	8059
25	208	7796
26	209	7546
27	210	7318
28	212	7106
29	213	6908
30	214	6718
31	216	6540
32	219	6439
33	221	6283
34	222	6133
35	224	6000
36	225	5866
37	226	5737
38	227	5617
39	229	5502
40	230	5393
41	231	5291
42	233	5204
43	235	5109
44	236	5018
45	237	4931
46	239	4849
47	240	4767
48	241	4687
49	242	4613
50	244	4541
51	245	4473
52	246	4408
53	248	4344
54	249	4283
55	250	4225
56	252	4169
57	253	4114
58	254	4060
59	255	4009
60	257	3959
61	258	3911
62	261	3889
63	262	3843
64	264	3798
65	265	3756
66	266	3714
67	267	3671
68	269	3630
69	270	3591
70	271	3556
71	273	3519
72	276	3508
73	277	3473
74	278	3439
75	280	3407
76	281	3373
77	282	3341
78	283	3309
79	285	3277
80	286	3247
81	287	3218
82	288	3182
83	290	3165
84	291	3140
85	293	3114
86	294	3089
87	295	3063
88	296	3038
89	298	3013
90	299	2988
91	300	2964
92	301	2940
93	302	2917
94	304	2896
95	306	2883
96	307	2862
97	308	2841
98	309	2821
99	311	2801
100	312	2781
101	313	2762
102	315	2744
103	316	2727
104	317	2708
105	320	2707
106	322	2691
107	323	2675
108	326	2666
109	328	2653
110	329	2641
111	331	2625
112	332	2609
113	337	2621
114	338	2605
115	339	2589
116	340	2571
117	342	2556
118	343	2541
119	344	2526
120	345	2512
121	346	2495
122	348	2481
123	351	2481
124	352	2467
125	353	2453
126	354	2437
127	355	2424
128	357	2411
129	358	2398
130	359	2384
131	360	2372
132	361	2359
133	365	2360
134	366	2349
135	367	2336
136	368	2324
137	370	2312
138	371	2300
139	372	2288
140	373	2276
141	374	2262
142	375	2252
143	377	2242
144	380	2241
145	381	2232
146	382	2221
147	384	2211
148	385	2202
149	387	2193
150	388	2183
151	389	2173
152	391	2164
153	392	2155
154	395	2154
155	396	2144
156	397	2134
157	398	2123
158	399	2114
159	400	2104
160	401	2092
161	402	2083
162	404	2074
163	405	2066
164	406	2058
165	407	2049
166	410	2049
167	412	2041
168	413	2032
169	414	2024
170	415	2016
171	417	2007
172	418	1999
173	419	1992
174	421	1984
175	422	1977
176	423	1968
177	426	1969
178	427	1962
179	429	1954
180	430	1947
181	431	1940
182	433	1934
183	434	1927
184	435	1919
185	436	1912
186	438	1905
187	441	1905
188	442	1898
189	443	1891
190	444	1884
191	446	1878
192	447	1871
193	448	1864
194	451	1864
195	452	1857
196	455	1858
197	457	1851
198	458	1844
199	461	1844
200	462	1838
201	463	1832
202	464	1825
203	466	1818
204	467	1812
205	468	1806
206	470	1800
207	471	1794
208	472	1787
209	473	1779
210	473	1772
211	474	1765
212	475	1758
213	476	1751
214	477	1743
215	478	1736
216	479	1730
217	480	1723
218	481	1716
219	484	1716
220	485	1710
221	486	1703
222	487	1698
223	488	1693
224	490	1688
225	492	1685
226	494	1684
227	496	1679
228	501	1689
229	503	1684
230	504	1679
231	505	1674
232	507	1669
233	508	1664
234	509	1658
235	510	1652
236	511	1646
237	512	1639
238	514	1637
239	515	1632
